COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2017-013A;42063;Airbus Defense and Space;;;;
2016-011A;41335;Thales Alenia Space;;;;
2018-039A;43437;Thales Alenia Space;;;;
2017-064A;42969;Airbus Defense and Space;;;;
2020-086A;46984;Airbus Defense and Space;;;;
2010-016A;36516;Orbital Sciences Corp.;;;;
2017-017A;42432;Airbus Defense and Space;;;;
2017-063A;42967;Airbus Defense and Space;;;;
2018-049A;43488;Airbus Defense and Space;;;;
2018-012B;43175;Airbus Defense and Space;;;;
2017-026A;42709;Boeing Satellite Systems;;;;
2021-095A;49332;Thales Alenia Space;;;;
2023-038A;55970;Northrup Grumman;;;;
2023-038B;55971;Northrup Grumman;;;;
2011-049A;37809;Orbital Sciences Corp.;;;;
2022-123A;53960;Boeing Satellite Systems;;;;
2022-123B;53961;Boeing Satellite Systems;;;;
2022-071A;52933;Thales Alenia Space;;;;
2011-035A;37748;Orbital Sciences Corp.;;;;
2012-007A;38087;Space Systems;Loral;;;
2012-036A;38652;Space Systems;Loral;;;
2013-026A;39172;EADS Astrium;;;;
2009-027A;34941;Boeing Satellite Systems;;;;
2013-071A;39460;Orbital Sciences Corp.;;;;
2016-013A;41380;Boeing Satellite Systems;;;;
2017-023B;42692;Thales Alenia Space;;;;
2018-015H;43199;Teen Satellite Project;;;;
2018-104M;43860;NASA Jet Propulsion Laboratory;;;;
2018-104B;43850;NASA Langley Research Center;;;;
2009-061A;36088;China Academy of Space Technology (CAST); DFH Satellite Co. Ltd.;;;
2011-039A;37765;China Academy of Space Technology (CAST;DFH Satellite Co. Ltd.;;;
2011-030A;37730;China Academy of Space Technology (CAST);DFH Satellite Co. Ltd.;;;
2013-035A;39202;China Academy of Space Technology (CAST);;;;
2014-014A;39624;China Academy of Space Technology (CAST);;;;
2014-059A;40261;China Academy of Space Technology (CAST);;;;
2014-066A;40286;China Academy of Space Technology (CAST);;;;
2010-027A;36596;China Academy of Space Technology (CAST);;;;
2017-018A;42662;China Aerospace Science and Technology Corp. (CASC);;;;
2013-037C;39210;China Academy of Space Technology (CAST);;;;
2013-057A;39358;China Academy of Space Technology (CAST);;;;
2016-043A;41634;China Academy of Space Technology (CAST);;;;
2016-065A;41838;China Academy of Space Technology (CAST);;;;
2019-097A;44910;China Aerospace Science and Technology Corp. (CASC);;;;
2021-094A;49330;Shanghai Academy of Spaceflight Technology (SAST);;;;
2021-122B;49962;China Academy of Space Technology (CAST);DFH Satellite Co. Ltd.;;;
2021-122A;49961;China Academy of Space Technology (CAST);DFH Satellite Co. Ltd.;;;
2004-035A;28413;Shanghai Academy of Spaceflight Technology (SAST);Dongfanghong Satellite Co.;;;
2004-035B;28414;Shanghai Academy of Spaceflight Technology (SAST);Dongfanghong Satellite Co.;;;
2006-046A;29505;China Academy of Space Technology (CAST);DFH Satellite Co. Ltd.;;;
2006-046B;29506;Shanghai Academy of Spaceflight Technology (SAST);Dongfanghong Satellite Co.;;;
2008-053A;33408;Shanghai Academy of Spaceflight Technology (SAST);Dongfanghong Satellite Co.;;;
2008-053B;33409;Shanghai Academy of Spaceflight Technology (SAST);Dongfanghong Satellite Co.;;;
2010-051A;37179;China Academy of Space Technology (CAST);DFH Satellite Co. Ltd.;;;
2010-051B;37180;China Academy of Space Technology (CAST);DFH Satellite Co. Ltd.;;;
2005-024A;28737;Shanghai Academy of Spaceflight Technology (SAST);Dongfanghong Satellite Co.;;;
2012-056A;38860;Shanghai Academy of Spaceflight Technology (SAST);Dongfanghong Satellite Co.;;;
2012-056B;38861;Shanghai Academy of Spaceflight Technology (SAST);Dongfanghong Satellite Co.;;;
2004-012A;28220;Chinese Research Institute of Space Technology;Changchun Photomechanical Institute (CAS);;;
2021-112A;49501;China Academy of Space Technology (CAST);;;;
2021-129A;50321;China Academy of Space Technology (CAST);;;;
2021-129B;50322;China Academy of Space Technology (CAST);;;;
2022-004A;51102;China Academy of Space Technology (CAST);;;;
2022-118A;53884;China Academy of Space Technology (CAST);;;;
2022-118B;53885;China Academy of Space Technology (CAST);;;;
2022-121B;53949;Shanghai Academy of Spaceflight Technology (SAST);;;;
2022-121C;53950;Shanghai Academy of Spaceflight Technology (SAST);;;;
2022-121A;53948;Chinese Academy of Launch Vehicle Technology (CALT);;;;
2023-034A;55861;Chinese Academy of Space Technology (CAST);;;;
2023-006A;55242;Chinese Academy of Space Technology (CAST);;;;
2023-006B;55243;Chinese Academy of Space Technology (CAST);;;;
2008-056A;33433;Harbin Institute of Technology;;;;
2011-068B;37931;CAST;DFH Satellite Co. Ltd.;HIT;;
2013-068A;39455;China Academy of Space Technology (CAST);;;;
2018-094A;43710;China Academy of Space Technology (CAST);;;;
2020-043A;45859;China Academy of Space Technology (CAST);;;;
2021-028A;48157;National Center for Nanoscience and Technology;;;;
2013-037A;39208;China Academy of Space Technology (CAST);;;;
2021-019A;47851;China Academy of Space Technology (CAST);;;;
2022-002AY;51030;Yuzhnoye;;;;
2001-005A;26694;Alenia Spazio;;;;
2009-020A;34810;Thales Alenia Space Italia;;;;
2015-022B;40614;Thales Alenia Space;;;;
2020-061H;46279;Royal Meteorologial Institute, Belgium;ESA;;;
2015-058L;40974;SRI International;;;;
2015-058P;40977;SRI International;;;;
2010-042A;37150;China Academy of Space Technology (CAST);;;;
2000-035A;26390;Space Systems;Loral;;;
2000-051A;26483;Space Systems;Loral;;;
2000-077A;26626;Space Systems;Loral;;;
2007-057A;32299;Lockheed Martin Commercial Space Systems;;;;
2009-034A;35493;Space Systems;Loral;;;
2013-058A;39360;Space Systems;Loral;;;
2005-008A;28626;Boeing Satellite Systems;;;;
2006-049A;29520;Boeing Satellite Systems;;;;
2010-053A;37185;Space Systems;Loral;;;
2021-049A;48838;Maxar ;;;;
2022-043A;52320;China Academy of Space Technology (CAST);;;;
2022-043C;52322;China Academy of Space Technology (CAST);;;;
2022-082A;53128;China Academy of Space Technology (CAST);;;;
2022-082B;53129;China Academy of Space Technology (CAST);;;;
2015-026B;40664;Orbital ATK;;;;
2015-054A;40940;Space Systems;Loral;;;
2016-060B;41794;Space Systems;Loral;;;
2017-007B;41945;Airbus Defense and Space;;;;
2023-001AX;55054;Skykraft;;;;
2023-001BB;55058;Skykraft;;;;
2023-001BE;55061;Skykraft;;;;
2023-001AV;55052;Skykraft;;;;
2023-001AJ;55041;Skycraft;;;;
1990-079A;20776;Astrium;;;;
1999-009B;25639;Astrium;;;;
2007-007B;30794;EADS Astrium;;;;
2007-056B;32294;EADS Astrium;;;;
2008-030A;33055;EADS Astrium;;;;
2012-075A;39034;EADS Astrium;;;;
2013-066C;39418;Skybox Imaging;;;;
2017-068D;42990;Space Systems;Loral;;;
2017-068C;42989;Space Systems;Loral;;;
2017-068B;42988;Space Systems;Loral;;;
2017-068A;42987;Space Systems;Loral;;;
2018-099AR;43797;Space Systems;Loral;;;
2018-099AW;43802;Space Systems;Loral;;;
2020-038BL;45788;Space Systems;Loral;;;
2020-038BN;45790;Space Systems;Loral;;;
2020-038BM;45789;Space Systems;Loral;;;
2020-057BQ;46179;Maxar ;;;;
2014-037D;40072;Skybox Imaging;;;;
2020-057BR;46180;Maxar ;;;;
2020-057BS;46235;Maxar ;;;;
2016-040C;41601;Space Systems;Loral;;;
2016-058B;41771;Space Systems;Loral;;;
2016-058C;41772;Space Systems;Loral;;;
2016-058D;41773;Space Systems;Loral;;;
2016-058E;41774;Space Systems;Loral;;;
2017-068F;42992;Space Systems;Loral;;;
2017-068E;42991;Space Systems;Loral;;;
2010-061A;37218;Boeing Satellite Systems;;;;
1996-029A;23893;National Reconnaissance Laboratory;;;;
2015-003A;40376;Jet Propulsion Laboratory (NASA);;;;
2012-048J;38766;Miltec;;;;
2012-048B;38759;Miltec;;;;
2013-072N;39474;Miltec;;;;
2013-072L;39472;Miltec;;;;
2009-059A;36036;Thales Alenia Space;;;;
2015-058G;40970;US Army Space and Missile Defense Command;;;;
2015-058J;40972;US Army Space and Missile Defense Command;;;;
2015-058M;40975;US Army Space and Missile Defense Command;;;;
2013-072G;39468;Naval Postgraduate School;;;;
2022-065F;52899;Seoul National University;;;;
2014-029C;39768;Advanced Engineering Services Company, Ltd.;;;;
2009-002E;33496;Space Oriented Higashiosaka Leading Association;;;;
2019-038U;44404;Moscow State University;;;;
2021-006AJ;47445;Technical University Dresden;;;;
2019-038Q;44400;University of WÃ¼rzburg;;;;
2003-004A;27651;Orbital Sciences Corp.;;;;
1998-067RH;45264;COSMIAC and ASTRA LLC;;;;
2017-024A;42695;Indian Space Research Organization (ISRO);;;;
2022-047B;52395;Swarm Technologies;;;;
2022-047C;52396;Swarm Technologies;;;;
2022-047D;52397;Swarm Technologies;;;;
2022-047E;52398;Swarm Technologies;;;;
2022-047L;52404;Swarm Technologies;;;;
2022-047J;52402;Swarm Technologies;;;;
2022-047M;52405;Swarm Technologies;;;;
2022-047K;52403;Swarm Technologies;;;;
2021-059E;48883;Swarm Technologies;;;;
2021-059F;48884;Swarm Technologies;;;;
2021-059H;48886;Swarm Technologies;;;;
2021-059K;48888;Swarm Technologies;;;;
2021-059M;48890;Swarm Technologies;;;;
2021-059T;48896;Swarm Technologies;;;;
2021-059Q;48893;Swarm Technologies;;;;
2021-059R;48894;Swarm Technologies;;;;
2021-059S;48895;Swarm Technologies;;;;
2021-059U;48897;Swarm Technologies;;;;
2021-059W;48899;Swarm Technologies;;;;
2021-059AB;48904;Swarm Technologies;;;;
2022-026T;52025;Swarm Technologies;;;;
2022-026S;52024;Swarm Technologies;;;;
2022-026C;52010;Swarm Technologies;;;;
2022-026J;52016;Swarm Technologies;;;;
2022-026R;52023;Swarm Technologies;;;;
2022-026Q;52022;Swarm Technologies;;;;
2022-026E;52012;Swarm Technologies;;;;
2022-026H;52015;Swarm Technologies;;;;
2022-026F;52013;Swarm Technologies;;;;
2022-026B;52009;Swarm Technologies;;;;
2022-026G;52014;Swarm Technologies;;;;
2022-026V;52027;Swarm Technologies;;;;
2022-026X;52029;Swarm Technologies;;;;
2022-026P;52021;Swarm Technologies;;;;
2022-026D;52011;Swarm Technologies;;;;
2022-026N;52020;Swarm Technologies;;;;
2022-033AB;52182;Swarm Technologies;;;;
2022-033Y;52179;Swarm Technologies;;;;
2022-033V;52176;Swarm Technologies;;;;
2022-033AA;52181;Swarm Technologies;;;;
2022-033AE;52185;Swarm Technologies;;;;
2022-033AC;52183;Swarm Technologies;;;;
2022-033Z;52180;Swarm Technologies;;;;
2022-033AG;52187;Swarm Technologies;;;;
2022-033H;52164;Swarm Technologies;;;;
2022-033AF;52186;Swarm Technologies;;;;
2022-033K;52166;Swarm Technologies;;;;
2022-033W;52177;Swarm Technologies;;;;
2022-047F;52399;Swarm Technologies;;;;
2022-047G;52400;Swarm Technologies;;;;
2022-047H;52401;Swarm Technologies;;;;
2022-047A;52394;Swarm Technologies;;;;
2022-047S;52410;Swarm Technologies;;;;
2022-047T;52411;Swarm Technologies;;;;
2022-047U;52412;Swarm Technologies;;;;
2022-047X;52415;Swarm Technologies;;;;
2022-047N;52406;Swarm Technologies;;;;
2022-047P;52407;Swarm Technologies;;;;
2022-047R;52409;Swarm Technologies;;;;
2022-047V;52413;Swarm Technologies;;;;
2022-047W;52414;Swarm Technologies;;;;
2022-047Q;52408;Swarm Technologies;;;;
2022-047Z;52417;Swarm Technologies;;;;
2022-047Y;52416;Swarm Technologies;;;;
2023-001CU;55099;Swarm Technologies;;;;
2023-001CX;55102;Swarm Technologies;;;;
2023-001CV;55100;Swarm Technologies;;;;
2023-001CW;55101;Swarm Technologies;;;;
2023-001CS;55097;Swarm Technologies;;;;
2023-001CR;55096;Swarm Technologies;;;;
2023-001CQ;55095;Swarm Technologies;;;;
2023-001CJ;55089;Swarm Technologies;;;;
2023-001CL;55091;Swarm Technologies;;;;
2023-001CP;55094;Swarm Technologies;;;;
2023-001CM;55092;Swarm Technologies;;;;
2023-001CG;55087;Swarm Technologies;;;;
2018-099BM;43817;Swarm Technologies;;;;
2021-006AY ;47459;Swarm Technologies;;;;
2021-006BE ;47465;Swarm Technologies;;;;
2018-099BN;43818;Swarm Technologies;;;;
2021-006S ;47429;Swarm Technologies;;;;
2018-099BL;43816;Swarm Technologies;;;;
2022-026L;52018;Swarm Technologies;;;;
2021-059D;48882;Swarm Technologies;;;;
2022-026M;52019;Swarm Technologies;;;;
2022-026W;52028;Swarm Technologies;;;;
2022-026U;52026;Swarm Technologies;;;;
2021-059L;48889;Swarm Technologies;;;;
2021-059N;48891;Swarm Technologies;;;;
2021-059J;48887;Swarm Technologies;;;;
2007-036A;32018;Boeing Satellite Systems;;;;
2005-046B;28903;Boeing Satellite Systems;;;;
2006-007A;28946;Space Systems;Loral;;;
2019-026B;44226;AAC Microtecs;;;;
2016-081C;41900;Shanghai Engineering Center for Microsatellites;;;;
2022-033A;52157;Thales Alenia Space;;;;
2016-081D;41901;Shanghai Engineering Center for Microsatellites;;;;
2021-059CP;48964;Endurosat;;;;
2011-037A;37755;Lavochkin;;;;
2009-008C;33751;EADS Astrium;;;;
2009-008D;33752;EADS Astrium;;;;
2012-047A;38755;EADS Astrium;;;;
2014-034A;40053;Airbus Defense and Space;;;;
2014-029E;39770;Nihon University;;;;
2011-058D;37841;SRM University;;;;
2019-072B;44704;Shenzhen Aerospace Oriental Red Sea Satellite Co.;;;;
2011-076E;38011;Astrium;;;;
2021-091G;49321;Beihang University;APSCO;;;
2021-091K;49324;Beijing ZeroG Space Technology Co., Ltd.;;;;
2023-054G;56184;Asia-Pacific Space Cooperation Organization (APSCO);;;;
2018-071A;43618;Surrey Satellite Technology Ltd.;;;;
2011-022B;37606;Mitsubishi Electric;;;;
2007-056A;32293;Thales Alenia Space;;;;
2008-018B;32768;Thales Alenia Space;;;;
2012-062A;38991;Orbital Sciences Corp.;;;;
2015-034B;40733;Space Systems;Loral;;;
2016-082B;41904;Space Systems;Loral;;;
2021-069A;49055;Maxar ;;;;
2023-001BR;55072;University of Tokyo;;;;
2023-001A;55009;Scanway;German Orbital Systems;;;
2019-074A;44713;SpaceX;;;;
2019-074B;44714;SpaceX;;;;
2019-074C;44715;SpaceX;;;;
2019-074D;44716;SpaceX;;;;
2019-074E;44717;SpaceX;;;;
2019-074F;44718;SpaceX;;;;
2019-074G;44719;SpaceX;;;;
2019-074H;44720;SpaceX;;;;
2019-074J;44721;SpaceX;;;;
2019-074L;44723;SpaceX;;;;
2019-074M;44724;SpaceX;;;;
2019-074N;44725;SpaceX;;;;
2019-074P;44726;SpaceX;;;;
2019-074Q;44727;SpaceX;;;;
2019-074R;44728;SpaceX;;;;
2019-074S;44729;SpaceX;;;;
2019-074U;44731;SpaceX;;;;
2019-074V;44732;SpaceX;;;;
2019-074W;44733;SpaceX;;;;
2019-074X;44734;SpaceX;;;;
2019-074Y;44735;SpaceX;;;;
2019-074Z;44736;SpaceX;;;;
2019-074AA;44737;SpaceX;;;;
2019-074AB;44738;SpaceX;;;;
2019-074AW;44757;SpaceX;;;;
2019-074AD;44740;SpaceX;;;;
2019-074AE;44741;SpaceX;;;;
2019-074AF;44742;SpaceX;;;;
2019-074AG;44743;SpaceX;;;;
2019-074AH;44744;SpaceX;;;;
2019-074AK;44746;SpaceX;;;;
2019-074AL;44747;SpaceX;;;;
2019-074AM;44748;SpaceX;;;;
2019-074AN;44749;SpaceX;;;;
2019-074AQ;44751;SpaceX;;;;
2019-074AR;44752;SpaceX;;;;
2019-074AS;44753;SpaceX;;;;
2019-074AT;44754;SpaceX;;;;
2019-074AC;44739;SpaceX;;;;
2019-074AX;44758;SpaceX;;;;
2019-074AY;44759;SpaceX;;;;
2019-074AZ;44760;SpaceX;;;;
2019-074BA;44761;SpaceX;;;;
2019-074BB;44762;SpaceX;;;;
2019-074BC;44763;SpaceX;;;;
2019-074BD;44764;SpaceX;;;;
2019-074BE;44765;SpaceX;;;;
2019-074BF;44766;SpaceX;;;;
2019-074BG;44767;SpaceX;;;;
2019-074BH;44768;SpaceX;;;;
2020-001AS;44954;SpaceX;;;;
2019-074BL;44771;SpaceX;;;;
2019-074BM;44772;SpaceX;;;;
2020-001AT;44955;SpaceX;;;;
2020-001AU;44956;SpaceX;;;;
2020-001W;44934;SpaceX;;;;
2020-001A;44914;SpaceX;;;;
2020-001AV;44957;SpaceX;;;;
2020-001AX;44959;SpaceX;;;;
2020-001AY;44960;SpaceX;;;;
2020-001Z;44937;SpaceX;;;;
2020-001AZ;44961;SpaceX;;;;
2020-001BA;44962;SpaceX;;;;
2020-001AA;44938;SpaceX;;;;
2020-001AB;44939;SpaceX;;;;
2020-001B;44915;SpaceX;;;;
2020-001BC;44964;SpaceX;;;;
2020-001BE;44966;SpaceX;;;;
2020-001BF;44967;SpaceX;;;;
2020-001BG;44968;SpaceX;;;;
2020-001AC;44940;SpaceX;;;;
2020-001BH;44969;SpaceX;;;;
2020-001BJ;44970;SpaceX;;;;
2020-001AD;44941;SpaceX;;;;
2020-001AE;44942;SpaceX;;;;
2020-001D;44917;SpaceX;;;;
2020-001E;44918;SpaceX;;;;
2020-001AF;44943;SpaceX;;;;
2020-001G;44920;SpaceX;;;;
2020-001H;44921;SpaceX;;;;
2020-001J;44922;SpaceX;;;;
2020-001K;44923;SpaceX;;;;
2020-001BL;44972;SpaceX;;;;
2020-001AG;44944;SpaceX;;;;
2020-001AH;44945;SpaceX;;;;
2020-001AJ;44946;SpaceX;;;;
2020-001L;44924;SpaceX;;;;
2020-001M;44925;SpaceX;;;;
2020-001N;44926;SpaceX;;;;
2020-001P;44927;SpaceX;;;;
2020-001BM;44973;SpaceX;;;;
2020-001AK;44947;SpaceX;;;;
2020-001AQ;44952;SpaceX;;;;
2020-001Q;44928;SpaceX;;;;
2020-006B;45045;SpaceX;;;;
2020-001R;44929;SpaceX;;;;
2020-001AM;44949;SpaceX;;;;
2020-001S;44930;SpaceX;;;;
2020-001AR;44953;SpaceX;;;;
2020-001AN;44950;SpaceX;;;;
2020-001AP;44951;SpaceX;;;;
2020-001T;44931;SpaceX;;;;
2020-001U;44932;SpaceX;;;;
2020-006D;45047;SpaceX;;;;
2020-006A;45044;SpaceX;;;;
2020-006W;45064;SpaceX;;;;
2020-006E;45048;SpaceX;;;;
2020-006F;45049;SpaceX;;;;
2020-006AX;45089;SpaceX;;;;
2020-006BA;45092;SpaceX;;;;
2020-012A;45178;SpaceX;;;;
2020-006X;45065;SpaceX;;;;
2020-006G;45050;SpaceX;;;;
2020-006H;45051;SpaceX;;;;
2020-006BB;45093;SpaceX;;;;
2020-012B;45179;SpaceX;;;;
2020-001V;44933;SpaceX;;;;
2020-006Y;45066;SpaceX;;;;
2020-006BC;45094;SpaceX;;;;
2020-006BD;45095;SpaceX;;;;
2020-006J;45052;SpaceX;;;;
2020-006AM;45079;SpaceX;;;;
2020-006Z;45067;SpaceX;;;;
2020-006AP;45081;SpaceX;;;;
2020-006BE;45096;SpaceX;;;;
2020-006AN;45080;SpaceX;;;;
2020-012W;45198;SpaceX;;;;
2020-006K;45053;SpaceX;;;;
2020-006L;45054;SpaceX;;;;
2020-006M;45055;SpaceX;;;;
2020-006N;45056;SpaceX;;;;
2020-006P;45057;SpaceX;;;;
2020-006AQ;45082;SpaceX;;;;
2020-006AA;45068;SpaceX;;;;
2020-006Q;45058;SpaceX;;;;
2020-006R;45059;SpaceX;;;;
2020-006S;45060;SpaceX;;;;
2020-006AD;45071;SpaceX;;;;
2020-006AE;45072;SpaceX;;;;
2020-006T;45061;SpaceX;;;;
2020-006AF;45073;SpaceX;;;;
2020-006U;45062;SpaceX;;;;
2020-006AG;45074;SpaceX;;;;
2020-006AS;45084;SpaceX;;;;
2020-006AH;45075;SpaceX;;;;
2020-006AY;45090;SpaceX;;;;
2020-006AL;45078;SpaceX;;;;
2020-006AT;45085;SpaceX;;;;
2020-006AJ;45076;SpaceX;;;;
2020-006AU;45086;SpaceX;;;;
2020-006AW;45088;SpaceX;;;;
2020-006BG;45098;SpaceX;;;;
2020-006AV;45087;SpaceX;;;;
2020-006BH;45099;SpaceX;;;;
2020-012AT;45219;SpaceX;;;;
2020-012AV;45221;SpaceX;;;;
2020-006AR;45083;SpaceX;;;;
2020-012AW;45222;SpaceX;;;;
2020-012C;45180;SpaceX;;;;
2020-006BJ;45100;SpaceX;;;;
2020-006BK;45101;SpaceX;;;;
2020-006BL;45102;SpaceX;;;;
2020-006BM;45103;SpaceX;;;;
2020-012X;45199;SpaceX;;;;
2020-012Z;45201;SpaceX;;;;
2020-012D;45181;SpaceX;;;;
2020-012E;45182;SpaceX;;;;
2020-012F;45183;SpaceX;;;;
2020-012AA;45202;SpaceX;;;;
2020-012G;45184;SpaceX;;;;
2020-012AC;45204;SpaceX;;;;
2020-019W;45380;SpaceX;;;;
2020-012AD;45205;SpaceX;;;;
2020-012AE;45206;SpaceX;;;;
2020-012AF;45207;SpaceX;;;;
2020-012AG;45208;SpaceX;;;;
2020-012AX;45223;SpaceX;;;;
2020-019AS;45400;SpaceX;;;;
2020-012AZ;45225;SpaceX;;;;
2020-012H;45185;SpaceX;;;;
2020-012BA;45226;SpaceX;;;;
2020-012AJ;45210;SpaceX;;;;
2020-012BB;45227;SpaceX;;;;
2020-012BC;45228;SpaceX;;;;
2020-012J;45186;SpaceX;;;;
2020-012K;45187;SpaceX;;;;
2020-012BD;45229;SpaceX;;;;
2020-012BE;45230;SpaceX;;;;
2020-012L;45188;SpaceX;;;;
2020-012M;45189;SpaceX;;;;
2020-012AL;45212;SpaceX;;;;
2020-012AM;45213;SpaceX;;;;
2020-012AN;45214;SpaceX;;;;
2020-012N;45190;SpaceX;;;;
2020-012BG;45232;SpaceX;;;;
2020-012P;45191;SpaceX;;;;
2020-012Q;45192;SpaceX;;;;
2020-012BH;45233;SpaceX;;;;
2020-012R;45193;SpaceX;;;;
2020-012S;45194;SpaceX;;;;
2020-012T;45195;SpaceX;;;;
2020-012BJ;45234;SpaceX;;;;
2020-012U;45196;SpaceX;;;;
2020-012AP;45215;SpaceX;;;;
2020-012BK;45235;SpaceX;;;;
2020-012BL;45236;SpaceX;;;;
2020-019AR;45399;SpaceX;;;;
2020-019AT;45401;SpaceX;;;;
2020-019AU;45402;SpaceX;;;;
2020-019X;45381;SpaceX;;;;
2020-019AV;45403;SpaceX;;;;
2020-019AW;45404;SpaceX;;;;
2020-025AS;45571;SpaceX;;;;
2020-019G;45366;SpaceX;;;;
2020-019AX;45405;SpaceX;;;;
2020-019Y;45382;SpaceX;;;;
2020-019AY;45406;SpaceX;;;;
2020-019Z;45383;SpaceX;;;;
2020-019AA;45384;SpaceX;;;;
2020-012V;45197;SpaceX;;;;
2020-012BM;45237;SpaceX;;;;
2020-012AR;45217;SpaceX;;;;
2020-019AC;45386;SpaceX;;;;
2020-019H;45367;SpaceX;;;;
2020-019AD;45387;SpaceX;;;;
2020-019AZ;45407;SpaceX;;;;
2020-019J;45368;SpaceX;;;;
2020-019K;45369;SpaceX;;;;
2020-019BA;45408;SpaceX;;;;
2020-019A;45360;SpaceX;;;;
2020-019AE;45388;SpaceX;;;;
2020-019L;45370;SpaceX;;;;
2020-019BB;45409;SpaceX;;;;
2020-019AF;45389;SpaceX;;;;
2020-019AG;45390;SpaceX;;;;
2020--019BK;45417;SpaceX;;;;
2020-019M;45371;SpaceX;;;;
2020-019N;45372;SpaceX;;;;
2020-019AH;45391;SpaceX;;;;
2020-019AJ;45392;SpaceX;;;;
2020--019AK;45393;SpaceX;;;;
2020-019AL;45394;SpaceX;;;;
2020-019BD;45411;SpaceX;;;;
2020-025W;45551;SpaceX;;;;
2020-019P;45373;SpaceX;;;;
2020-019BE;45412;SpaceX;;;;
2020-019AM;45395;SpaceX;;;;
2020-019BF;45413;SpaceX;;;;
2020-019BL;45418;SpaceX;;;;
2020-019Q;45374;SpaceX;;;;
2020-019B;45361;SpaceX;;;;
2020-019R;45375;SpaceX;;;;
2020-019AN;45396;SpaceX;;;;
2020-019S;45376;SpaceX;;;;
2020-019T;45377;SpaceX;;;;
2020-019C;45362;SpaceX;;;;
2020-019AP;45397;SpaceX;;;;
2020-019BM;45419;SpaceX;;;;
2020-019BG;45414;SpaceX;;;;
2020-019U;45378;SpaceX;;;;
2020-019AQ;45398;SpaceX;;;;
2020-019E;45364;SpaceX;;;;
2020-019BH;45415;SpaceX;;;;
2020-019F;45365;SpaceX;;;;
2020-019BJ;45416;SpaceX;;;;
2020-019V;45379;SpaceX;;;;
2020-025AT;45572;SpaceX;;;;
2020-025AU;45573;SpaceX;;;;
2020-025Y;45553;SpaceX;;;;
2020-025AV;45574;SpaceX;;;;
2020-025Z;45554;SpaceX;;;;
2020-025AW;45575;SpaceX;;;;
2020-025AA;45555;SpaceX;;;;
2020-025AX;45576;SpaceX;;;;
2020-025A;45531;SpaceX;;;;
2020-025AY;45577;SpaceX;;;;
2020-025AZ;45578;SpaceX;;;;
2020-025BA;45579;SpaceX;;;;
2020-025BB;45580;SpaceX;;;;
2020-025AB;45556;SpaceX;;;;
2020-025BC;45581;SpaceX;;;;
2020-025AC;45557;SpaceX;;;;
2020-025BD;45582;SpaceX;;;;
2020-025B;45532;SpaceX;;;;
2020-025BE;45583;SpaceX;;;;
2020-025D;45534;SpaceX;;;;
2020-025AD;45558;SpaceX;;;;
2020-025BF;45584;SpaceX;;;;
2020-025AE;45559;SpaceX;;;;
2020-025AF;45560;SpaceX;;;;
2020-025BH;45586;SpaceX;;;;
2020-025AG;45561;SpaceX;;;;
2020-025BJ;45587;SpaceX;;;;
2020-025E;45535;SpaceX;;;;
2020-035AS;45697;SpaceX;;;;
2020-025F;45536;SpaceX;;;;
2020-025AH;45562;SpaceX;;;;
2020-025AJ;45563;SpaceX;;;;
2020-025AK;45564;SpaceX;;;;
2020-025AL;45565;SpaceX;;;;
2020-025AM;45566;SpaceX;;;;
2020-025BK;45588;SpaceX;;;;
2020-025AN;45567;SpaceX;;;;
2020-025H;45538;SpaceX;;;;
2020-025AP;45568;SpaceX;;;;
2020-025BL;45589;SpaceX;;;;
2020-025BM;45590;SpaceX;;;;
2020-025AQ;45569;SpaceX;;;;
2020-025K;45540;SpaceX;;;;
2020-025L;45541;SpaceX;;;;
2020-035AT;45698;SpaceX;;;;
2020-025M;45542;SpaceX;;;;
2020-025N;45543;SpaceX;;;;
2020-025P;45544;SpaceX;;;;
2020-025Q;45545;SpaceX;;;;
2020-025R;45546;SpaceX;;;;
2020-025AR;45570;SpaceX;;;;
2020-025S;45547;SpaceX;;;;
2020-025T;45548;SpaceX;;;;
2020-025V;45550;SpaceX;;;;
2020-038W;45750;SpaceX;;;;
2020-035W;45677;SpaceX;;;;
2020-035X;45678;SpaceX;;;;
2020-035Y;45679;SpaceX;;;;
2020-035Z;45680;SpaceX;;;;
2020-035AA;45681;SpaceX;;;;
2020-035AB;45682;SpaceX;;;;
2020-035AU;45699;SpaceX;;;;
2020-035AC;45683;SpaceX;;;;
2020-035AV;45700;SpaceX;;;;
2020-035AD;45684;SpaceX;;;;
2020-035AE;45685;SpaceX;;;;
2020-035AW;45701;SpaceX;;;;
2020-035AF;45686;SpaceX;;;;
2020-035AX;45702;SpaceX;;;;
2020-035AY;45703;SpaceX;;;;
2020-035AH;45688;SpaceX;;;;
2020-035AZ;45704;SpaceX;;;;
2020-035BA;45705;SpaceX;;;;
2020-035BB;45706;SpaceX;;;;
2020-035BC;45707;SpaceX;;;;
2020-035AJ;45689;SpaceX;;;;
2020-035AK;45690;SpaceX;;;;
2020-035AL;45691;SpaceX;;;;
2020-035AM;45692;SpaceX;;;;
2020-035AN;45693;SpaceX;;;;
2020-035BD;45708;SpaceX;;;;
2020-035AP;45694;SpaceX;;;;
2020-035AQ;45695;SpaceX;;;;
2020-035BE;45709;SpaceX;;;;
2020-035AR;45696;SpaceX;;;;
